Participant number,1.1 Fictional story or scene,"1.2 Abstract shapes, colors or patterns","1.3 Smells, tastes or other sensory sensations",1.4 Experiences from my life,"1.5 Memories from media such as films, TV, or video games",1.6 Thoughts about the music,1.7 Thoughts about the future or personal plans,1.8 Thoughts about the building or space,1.9 Everyday stuff,Select the movement during which you imagined the most vivid memory.,Please describe the memory in as much detail as possible.,To what degree do you think these memories were prompted by the music you just heard?,To what degree did these memories come to mind spontaneously (without special effort)?,Would you say that the memories you experienced were individual to you?,Select the movement during which you imagined the most vivid fictional story or scene.,Please describe the story or scene in as much detail as possible.,To what degree do you think these imaginings were prompted by the music you just heard?,To what degree did these imaginings come to mind spontaneously (without special effort)?,Would you say that the imaginings you experienced were individual to you?,"If you would like to add any further information, such as another movement that elicited a strong response, please do so here.",Please enter your age,Please select your gender,Please indicate how frequently you listen to classical music,For how many years hae you engaged in regular daily practice of a musical instrument (including voice)?,"Please indicate the part of the auditorium in which you are seated, using the map below for reference."
11,2,3,2,2,3,3,3,3,3,H1,"Thought about an old high-school friend. Recalled how he went to trade school & began contemplating his continued existence in the same hometown he grew up in. Had a blue-collared attitude -- him & the friends he used to hang out with. Appreciated his friendship, but never felt too close to him. It's an obtuse thought. ",4,5,4,B3,"Thought up a story about a woman who makes the internal vow to write the longest poem she can. She's a mother with one young daughter, and I envisioned them in a living room setting. She's trying to write lines, while her daughter draws next to her. ",3,4,4,,25,Male,5,8,K
12,4,3,2,2,2,5,1,1,1,H2; H3; H4,"Honestly, was imagining the section of ""A gentleman in Moscow"" ""Cabarat"" Secrat grande section",5,5,4,B2,Personal conversation ,5,5,4,,71,Female,5,60,J
13,4,1,3,2,1,3,1,1,2,H5,-Street scenes -Moods related to personal interactions -Anticipation of musical direction,4,4,1,H2,Walk thorugh natural scenes,5,5,1,,,Male,5,,J
14,5,4,3,4,1,3,1,1,1,B1,"The Beethoven seemed to begin as a frolic on a beautiful summer's day. Dancing, conversing, enjoying the overtures, eated on the glrass in a partk. Noice surrounds with the awrmth of the sun, twittering insects, butterflies, and swaying of trees. Couples begin to pair off as theiy paster lovingly more intimate conversations as the day pose slowly to noon and eventually to sunset and evening",4,5,5,H3,"The story enters the lobby of a hotel where a set of actions take place. People checking in and out, discussions arise in the lobby some pleasant other full of disturbance and anxiety. The hotel is forcefully ending with crying. Staff and guests. There is continued action and nothing is resolved, there is never a ___, pure chaos. ",5,5,5,,63,Male,5,1-13,H
15,4,3,1,3,3,4,1,3,2,B1,I remember performing with a trio and the interaction of my fellow performers. ,4,3,4,H4,"The composer's discussion prior to the performance started me thinkin gabout marionettes etc, and the more lurid aspects of paris int he 20s.",4,4,4,,75,Female,5,50,I
16,1,1,1,4,3,4,4,2,3,H5,Events in my life - planning how to navigate the times ahead,3,3,3,,,,,,I don't omagine fiction to music...,73,Female ,3,,H
17,1,1,2,2,1,5,2,2,2,H2,"No doubt because the piece is programmatic, prompted with being ""au pare"" in Paris, I thought of summer 2022, visiting my good friend who lived in Paris at that time. Extremely hot summer, one of the first things we did was take a bottle of champagne to a park; hot sun, another oocasion, in the tuilleries, also hot...",5,4,4,H4,"Nope, I was entirely engrossed in the music, apart from the thoughts of the hot summer in Paris. The comments from Hugh at the beginning made me try to imagine marionettes and whatnot, and car horns in the first movement, but by and large I was focused on the performance. ",5,1,1,,44,Female ,5,17,I
18,1,3,1,,1,4,1,1,1,"B1, H6",Beethoven - sublime beauty - water or light patterns Hough - gestures of musicians ,4,4,4,,,,,,,78,Male,4,0,I
19,3,1,3,4,2,5,1,1,5,B1,"Though the memory I thought of was not the longest sustained, it was the most intense. I imagined practicing a Beethoven Sonata in B-flat, I think when I was younger and in music school. I could almost feel my fingers twitching as I listened, and the environment of the old practice room was vivid. ",5,4,5,H2,"I specifically imagined the black and white depictions of Paris from some children's book, but I can't remember the name. I just saw drawings of French buildings made o fblack crayon on white paper. Also I smell cucumber sandwiches??? Don't know if they are connected",5,5,4,"In the final movement of the Hough, I saw wheat fields; along with blue sky, green trees, etc. But very golden,  autumnal wheat fields.",24,Female ,5,18,H
20,2,1,1,3,3,3,3,2,,"B1, H6",It's a memory of a short story I just read today (by Chuck Palahniuk) There were also memories of the previous concert I attended ,1,4,4,"B1, B4, H4, H6 ",Everyday life scenarios - I just imagined the different ways to enjoy the weekend. I also pictured the scenes from a poem I'm doing resesarch on ,1,5,5,"Beethoven's Adagio was very striking in its sobriety. Most of my memories were elicited by visual cues, as I have never listened to these pieces before. Aside from memories, I spent the most time thinking about research",29,Female,3,0,G
21,3,1,1,3,3,4,2,3,2,B1,"I was thinking a lot about my grandparents, who introduced me to classical music, which has become a very important part of my life. I was thinkin gabout spending time at Tanglewood with them, listening to great music in a beautiful outdoor setting. ",4,5,5,H1,I was imagining Parisians strolling by - women with fancy hats - dogs - remembering the architecture of the city ,3,3,3,"The hotel movement where things start off ok and then descend into what made me think of a funhouse, was difficult - the composer's explanation of the piece plunged me into worry over the current state of our country. I might not have gone there had it not been for the insight into the time period (pre WWII) that inspired the piece. ",55,Female ,5,10,G
22,2,1,1,4,3,2,2,1,2,H1,"This movement very closely resembled the modern era soundtrack in my favorite computer game, Civilization IV. It brought back memories of playing the game- building modern era infrstructure such as airports and factories, having workers turn roads into railrods, and moving large stacks of combat units around to capture other civilizations.",5,1,5,B3,"I heard this piece last summer (or perhaps the year before) at the Marlboro Music Festival. It made me think back to summers in Vermont and a feeling of me floating through a beautiful summer day with clear skies, animal sounds, and lots of green vegetation. ",5,2,5,,28,Male,3,12,G
23,,3,,,,4,,2,,B4,"Not a memory but evolution of atmosphere of early Romantic era, perhaps near Venice this Beethoven is much more settled in his culture (like Brhams) rather than an outsider at where his daughters and relationships to previous. ",4,3,3,H4,Imagining conversation between Hugh and Poulenc. Sharing jokes and pondering observations about society as in some Poulenc song cycles  (j'ai vie mes amies sans souces). ,4,,4,Enjoying the sense of family among performers- string quartet almost uniquely exists only as and lohen the 4 conspire in real time to bring the mediocre parts into an organic state. Frquent how they imagine the white case when first reading their parts (Do they all see all parts first or want to first throguh),,Male,4,40,F
24,1,2,2,4,1,4,3,1,2,B2; H1,"B2: I remembered the very relaxing and positive images from my trip the week before to Austin, TX. H1: The music most vividly reminded me of being on the boulevard Champs Elyseea in Paris 50 years ago. ",5,5,4,H6,I was able to imagine what were complexities of the life at that time - maybe as we view them in retrospect- and made more vivid and intense by knowing what was to come. ,4,4,2,Hough movement 5 also evoked very strong emotions-- sadness ,,2,4,65,I
25,3,1,1,4,2,5,4,2,2,B1,"Learning the violin. Holding the violin, loving the violin and wishing I still played. Planning to buy a violin + take lessons again. Seeing the violin and hearts full of appendage - not ___ from my hobby. Watching the movement of the musicians before as they played. Remembering how it feels to play + how the violin prompts one to ssavor how the violin and sounds are ___. ",5,5,5,"B1, B4, H4, H6 ","Nature, Greenery, Woodlands, Pris",4,4,5,"My motives was an apeare singers so parts always appended to music. One 4 years old my tennis teen was to the Planet ___. As the ___ opened + the stars appeared, the enchanted music swelled + I burst into tears at the heading of the music + the stars",,4,,,
26,4,1,1,3,1,5,2,1,1,B1,"A boy aged about four, who when he heard a cello for the first time burst into tears with heavy sobs. Then, almost immediately, a memory, about the other end up life: my grandmother. At a concert she knew would probably be the last she would ever attend, bursting into tears. The music was Beethoven's ninth symphony. ",5,5,5,H4,Divers theatrical characters strutting and getting on a stage. ,5,5,4,,73,Female,5,12,H
27,2,2,2,4,1,3,2,2,3,H2,"Rowing on the small pond in the Bois de Boulogne with my husband. It was sunny and not windy. The water moved slowly around the boat. Watching the small ""taxi"" ferry restaurant guests for the Sunday dejeuner to the guitar looking restaurant on the pond and small island. ",4,4,5,H1,"This was suggested by composer Hough's introduction, describing what he had in mind when he wrote this piece. I imagined the hustle of pedestrains, carriages and horses on a wide Paris boulevard. Not stalling, rather the move - memory prusues with purpose, with much intent to go to their destinations.",3,3,3,"When the Beethoven piece began, I was ____ how I feel this space is a peaceful protected interior. In particular, these days very much away from current news and the dreadful MAGAs. I seriously wonder (am convinced) no MAGAs enter here. Thankfully!",68,Female,4,0,G
28,1,1,1,1,1,4,1,1,1,,I didn't experience memories. I'm listening to the music. ,I wasn't imagining. I was listening to the music. ,,,,,,,,,77,Female ,5,70,I 
29,1,1,1,1,1,5,1,1,2,,"I had no memories. I was at this concert because I love this quartet and their interpretation of Beethoven. I was entirely absorbed by the music, its structure and development. If I wanted to daydream, I would have stayed at home! ",,,,,No fictional imaginings at all! I don't really understand these questions. Listening to music is totally absorbive and immersive. I think I'm the wrong subject for your research! None - no imaginings! ,1,1,1,,73,Female ,5,5,I 
30,1,1,2,3,1,4,1,1,2,B1,I play the violin and have played reguarly with a string quartet that sight read every Saturday morning. The first movement of the Beethoven brought back many memories of this great repertorie. That I no longer have as I have moved. ,3,4,5,H1;H2;H3,My great-grandmother was an accomplished artist and did several drawings that look like late 19th century/early 20th century Paris. This music made me imagine this Paris. ,4,5,5,,77,Female ,4,,E
31,1,1,1,2,1,1,1,1,1,B2;B3,"I rememnbered someone a couple of years behind me in grade school (~1950) and the house where she lived, then when a US senator of the same family anme came to my parents house for a social occasion - drinks before lunch, I think. I have no idea why I should remember this! No other thoughts. This was during the Beethoven probably movement 2, maybe 3. The most coherent vision was of the bridge over the Charles River on the road to this person's house (a house I never visited, but I knew where it was). ",1,5,4,,"I had no fictional imaginings, I had some thoughts about the Hough quartet - which movement was being played, could I remember the titles? But I didn't envision them. ",4,3,2,,86,Male ,4,0,F
32,3,1,1,,1,3,3,2,2,B2;H4,"I fanticized about whether it was interfering or bothering the woman seated ___ of ___ me. This ___ during Hough, movement 4 dud was influenced by the composer's introducing ___ and my state of partial dreaminess. ",3,4,5,H4,"Please see commentary on previous page. My ___ is ___ ___ here as a ""fictional imaginings"" rather than a memory. ",3,5,5,,81,Male ,4,10,D
33,3,2,1,3,3,3,2,2,3,B1; B2; B3; H1; H5,"The whole first half was in the UK for me, even though I've never been there! Beethoven mvmt 1 conjured a memory of my brother (this one part wasn't in the uk) learning to crawl on Easter day years ago, crawlling for a plate of sweet tarts that ended up on the floor, then it went to Beatrix Potter Peter Cottontail Morie and its pastels. Then what I imagined when I read Wuthering Heights - rainy hills of heather. At adagio, an image of rain pouring down a wood-framed window. Hough was fountains! All over, coming up from the concrete. I guesss the concrete was at Cinderella's castle. Also some of the movemets brought me to a vide of Darcy Bussel dancing the ballet Prince of the Pagolas Red & graig. ",4,4,5,B1; B2; B4; H1; H4; H5; H6,Oops...I answered this! ,4,4,5,,35,Female,4,,F
34,3,4,3,4,1,4,2,3,1,H5,"Beginning with the tiny al hilk rowing voices from the second violin and the viola, I just been unitry out or escaping out from the mostly and obscure of moon light covering with the mushroom smell, chasing by the ____ of the it all ends with the start of the plunge I saw the first light in a white color the purest color, gleamering light shine on face, through the trees pass through the lenses fsurfece, as if all the mastering black magic gone and I sunddenly found. Nope again, the sun will always lone, even at the darkest age",5,4,5,B1,"The delicate turning of the violin colding with the rhymes with the cello, I found myself spining thorugh time, and ___ to the place of my rey only, ___ I was five and I was trying to learn how to dance. The spinning of traditional Chinese dance as the spinning and up rising of the violin at each of the dynamics of the cello is the turning of each dance character, as through from violets to homogenous as I first scared of fault at which I found exteremely joy in it, and then everything seems to change, or somehow too shortly, as strech my leg over the top of my head and appears the innocent smile last time to the audience, the quoartet ends, al my dance ended at them seven. Absolute quiet as the perform went off all my childhood fall even I once thought I can always withhhold. ",5,5,5,"I once thought I loved dance just because the elegant of oneself could only be perform in that way, as if that should be the beauty of a moment. As ___ on, the music went back to the dancing, memories and I imagine I was dancing again, ___. The beauty is not only its elegant, but the key of expressing oneself, the koot come naturally with your identity. Music let one fixed its identity, music let one final it's identity at memories but not letting one forget about why. ",10 (or 60?),Female,5,11,F
35,1,2,2,3,1,4,1,1,1,B1; B2; H4; H5,"The second movement of Beethoven's String Quartet in F Major is emotional and has deep feeling. The first movement is full of energy, so is the last movement. Hough's slow movements are dramatic and has strong dynamic changes. The fast movements are vivid and has a lot of details also. ",4,4,4,,"When I listen to music, I usually don't imagine any fictional story or scene. I just purely enjoy the music. ",1,1,1,,42,Female,5,30,E
36,2,3,2,3,3,4,4,3,3,B3; h4,"B3: it brought back my memory of my first year of undergrad when my quartet was working on Mendelssohn's quartet No.2 (also the scherzo mvt). They're very similar musically really; H4: I wasn't thinking about anything cuz I was focus in the music the whole time (it's of course new to me, and I love getting into ""music theory analysis"" mode when I hear sth new. The last chord is a D-flat major chord and D-flat major is my favorite key and it probably just brought back the memories of every time I heard the chord.",4,3,2,B1; H2,"B1: It is very noble music, I was imaging people were sort of gathering in a party at a court. Many conversations questions between the ladies and gentlemen who were invited to the party; H1: Kids playing around in a park. It was probably during spring time. ",3,3,2,,27,Male ,4,20,F
37,2,2,1,3,1,4,1,1,3,H4,"A quick meeting in the spring of 2018, in the NYC broadway after a certain show. It was pretty dark and cold, and I had a talk with a stranger about the show we'd watched. It was a little hurried a quicky meeting. ",3,5,4,H5,"It's the violin scene in Arcane season1: Ray Chen was the model violinist. It was some dramatic romantic music, a dark-ish atmosphere, quite mysterious",4,4,1,,20,Female,4,13,K
38,1,1,1,3,1,3,2,1,2,B1,"Beethoven: playing with cousin's at summer house in Sweden; Hough's piece: no day dreaming as memories, not melodic enough for me.",4,3,4,,,1,1,1,,83,Female,4,,J
39,1,1,1,1,1,5,1,1,1,B2; H6,My brain is wired to the outdoors - nature! Music relays sounds heard in nature during all types of weather,4,5,5,,N/A,,,,"My life has memories of nature and being in forests, water... listening to binds, animals, weather W, Virginia (back in the hills)- N. Dakota (up near Canada), Minnesota (Boundary Waters) Iowa (farm) ",80,Female,5,80,D
40,1,1,1,2,1,4,4,2,2,H2,I cannot give much detail. Probably some raindrops in a Paris-like bark. ,3,3,,,"Music is music. Absolutely ""abstract"", Either you are in or ____ walk  with the music while thinking about other things. ",,,,"There was a lot of priming about the survey before the concert starbed and also at the ____ beginning of survey's question. You will have to take account for this in year analysis. I am not sure the results you will have will be reliable. In fact, they won't be. ",62,Male ,4,,A
41,1,2,3.00,,1,5,3,2,2,H1; H2,Hough: Thinking about Paris- walking on Blvd. St.Michael --fall of enjoyment. Beautiful weather. ,4,4,4,,I did not imagine any fictional scenes. I mostly engaged in the sound form of the works,2,2,3,I loved the 1t mvt of the Beethoven the ensemble playingw as phenomenal. The freshness of each instrument and then how they worked as a team especially during the silences were inspiring ,72,Female,5,,E
42,4,1,1,4,4,3,3,4,5,B3 ,"First falling in love with Beethoven's string quartet because of a film. I was making at the time, in 2022 -- 14th string quartet was my first love -- worked backwards -- wrote the film in March of 2022 with thoughts of summer -- this movement, while not in the film, exhibited the character or expression I wished to capture -- reminds me of a time filled with hope and excitement at the opportunity to make films, sitting in a cabin in the Pocons snowed in, dreaming of sunnier days",4,5,5,H5,"Always bad with melody one memory of music, but I took note of a film I'd like to make, about two sisters figuring out a way to convince their father to rejoin the living after becoming a recluse following the death of his wife, their mother. The scene is tense because the younger sister, who lives with the father, is less optimistic than the older sister, who feels like she has all the answers (she doesn't, which she will soon find out). ",4,5,5,"I'm excited to re-experience the Hough string quartet, as this was my first experience. ",28,Male ,5,,J
43,3,2,2,3,2,3,2,2,2,"B2, H5",,4,4,4,B2; H3,"The Beethoven-inspired ""imaginings"" come largely from my own emotions and musical impressions. Also more abstract. Images during the Hough were more vivid -- I was also thinking/engaged more by the music in the Beethoven, and had more attention in the Hough to let my mind wander. Imagined scenes during the Hough were largely led by the movement titles, but images/scenes easily followed. ",4,4,4,,22,Female ,4,,K
44,1,3,1,1,1,5,1,2,1,B2,Not sure what you mean about memory. I experience music in a pure form. Adagio was amazing. ,1,1,1,,none ,1,1,1,,73,Female ,5,65,J
45,1,1,4,2,1,5,2,2,1,,Beethoven: thought about previous performances of this piece and compared this to those performances. ,2,2,3,,,5,4,4,,67,Male ,5,0,J
46,1,2,1,1,1,4,2,2,2,,None that I can recall and describe ,1,1,1,,none ,,,,"No particularly strong responses as to memories, but I really enjoyed both pieces. ",77,Male ,5,0,J 
47,2,1,1,1,2,2,3,1,1,"B2, H3,H6",,2,2,2,"Br2, H6",,2,2,2,"I spent a lot of time looking at the musicians, and their expressions and body movements, their smiles and shared looks, and how they felt the music they were playing. I can hear the music on the radio, but I only experience it as played by artists here! ",56,Male,2,0,K
48,1,1,1,3,1,4,3,2,2,"B2, H3,H5",None of the memories lasted long enough for me to take real notice of - very much passing thoughts ,1,5,5,H1,"I saw a scene of bustling with people. The sky was blue with small puffy clouds. The street was lined with tall, leafy trees. I don't think I saw any cars, just people and trees and some pink flowers. ",4,5,5,,50,Female ,5,44,J 
49,4,2,1,3,1,4,4,1,4,"B2, B4, H6",Movement 2 sleep in summer night. When you are sleeping outside under the stars ,3,4,5,Br2,,3,4,5,,62,Female ,5,0,J 
50,4,1,1,1,2,4,1,1,3,,I really didn't have any memory I try very hard to be here. My feet are and just enjoyed the music playing as clear attention as I could. The Hough music was chaotic and not especially enjoyable. ,,,,,Refer to the comments on page 1,,,,"I loved the musicians' animated and could read the playful moments, the more somber movements. Those movements made me think of peace, joy and sorrow. More emotions and less images or memory. ",75,Female ,3,None ,J 
51,1,1,1,2,1,4,1,1,1,B2,"for some reason in the second movement of the first piece I thought of a childhood friend with whom I am not in touch anymore. Her parents are buried and ___ away from mine and I imagined running into her at the cemetary. Usually I try to concentrate on the music -- the players, themes, currents. Although today is the anniversary of my mother's death. ",1,5,5,,,,,,,68,Female ,4,,J 
52,2,1,1,3,1,4,3,2,3,B2 ,I remembered being in Vienna years ago and seeing scenes that Beethoven could have seen. I did research on salons and I remember scenes/ sketches from books where he would have played or his work would have been performed,5,3,3,H2,"I imagined a cat walking, pracing, meowing, growling, whining. And she ccame back briefly in movement 5",5,5,5,,74,Female ,5,0,I 
53,1,1,1,2,1,3,3,1,1,B1,visualized people dancing,4,1,2,H5,visualized a large seurat painting,3,2,2,,43,Female,4,15,J
54,1,3,2,1,1,5,1,3,1,"B2, H2","Beethoven: The rhythm of colour and shapes, Hough piece: Aupare - my happy thoughts of Paris and remembering when my father sued about parle in Paris. He was a student in Paris before the war",5,5,5,B2,"Not a scene per se but the rhythm pulsed with color accents. I see colour + shapes dark notes - bon notes one saturated black, dark blue, purple",5,5,5,,73,Male,5,,K
55,3,3,2,3,2,5,1,2,2,B2,"It brought back the memories of the conversation I had with my friends group. We talked about the string quartet music itself how we liked it. Also talked about the first time we heard it. Talked a lot about our childhood & the music we were exposed to thanks to our parents. (Smell of coffee, too) ---> because we also talked about it.",3,2,2,H2,"The pants in Paris, NJ, other places in general. Walking alone through a path the smell, sound (wind, birds, footsteps etc), view of sky...",5,2,3,the theater A l'egalise... interesting harmonic texture of the music brought up interesting musical joy;..,57,Female,5,20,J
56,4,3,3,2,3,2,2,1,1,H2,Sinlight and sidewalks and people walking on a path. Shadows and something faintly menacing watching,4,3,4,B1,"Call + respomse, conversations. Sometimes between birds, sometimes between people... teashing and calling out",4,4,4,,56,Female,3,2,I 
57,1,1,1,3,1,4,3,2,2,B1,"The amazing physical involvement of the musicians with each other and with the music reminded me of playing music myself in high school band. The harmonic relationships are what we need in our world today. We should be able to peacefully + joyfully interact with others, so sad that it is lacking today in our world. ",5,5,3,H4,The amazing dino note - wonderful. Also the marionettes in this movement. ,5,5,2,,75,Female,,15,J
58,1,1,1,1,1,5,1,1,1,,No contours just paying attention to the music - quality of players bowing why is the viola to the far right,1,1,1,,"Just ""visualizing"" the music trying to imagine the score no scenes no memories",1,1,1,Just listening to the music & focusing on it (and the woman next to me who breathes loudly & irregularly through her nose),57,Male,4,8,J
59,1,1,1,3,1,4,1,1,2,B4,The concert 2 attended at with my dad.,3,3,2,,,,,,,39,Female,4,,J
60,4,2,4,4,1,2,2,2,1,"B4, H5",I remember backyard bunnies and squirrels dancing around the forest. At quiet beautiful and serene. ,4,4,3,"B4, H5",Ballet dancers on stage in floutes dresses dancing to the beat of the music. ,4,4,5,,66,Female,3,5,K
61,4,3,1,1,1,1,3,1,2,B1,"I was a young man, this was in a hot air baloon. First I saw children playing and laughing. Then I saw people Dancing. Then bunnies not marathon. Then horses grazing in the grass. The I was making love to my wife in the field. ",5,5,3,H1,I was on a sailboat at sunset. It was very serene. I had pefect peave as I danced along.,5,5,3,,,Male,3,0,J
62,1,1,1,1,1,1,1,1,1,,"I listen closely, I listen well - I am a professional musician and I listen carefully and in detail to the music and the performance. Irarely, if ever, have extra-musical associations when listening to music. ",1,1,1,,"see previous comment. Why would you assumed that listening to music promotes ""imaginings"". Is there research that strongly suggests this! ",1,1,1,,73,Male,,67,J
63,1,4,1,3,1,5,2,3,2,B2,"I remember playing 2nd violin in the piece - the drama, the long long long lines - the rest of deep in the 1st violin. the pleasure of all of the voices. ",5,4,5,,no story,,,,In the Beethoven I closed my eyes and saw the sound of the music in a chord of dark smoke exactly in the center of the space by the quartet members - it could then wafted out into the center of the first flow of the auditorium,75,Female,5,,J
64,4,1,1,1,1,4,1,1,1,,,1,5,5,,"Nothing was most vivid and sounded monotonous. ""Sawing wood"" is what it all sounded like to me. Back and forth... Back and forth... the pendulum drone-like sawing of the blow. Almost like fingernails on a chalkboard. the sawing putting me to sleep.. but again the sawing me from any relief from sleeping rest. mice running along the teeth of the saw. something in the same direction.. most times not... then running up tick and top... up and over the gradnfather clock",1,5,5,None of these elicited anything to me other than cacophonous annoyance... I think because my mind was not at rest to begin with since I am fresh into middle of processing a 5 1/2 day intense immersion into unsettling family encounters leaving me emotionally and cognitively depleted. My energy in any spent I;m looking to rest until another day when again music may enter... with its magic. ,71,Male,3,50,I 
65,2,1,1,1,1,4,1,1,2,"B2, H2","The agitation in the music (somtimes) invite thoughts and images of people in distress or competitive chase. To be honest, I was more attentive to very precise interactions of the ""instruments"" ie the sachrads. The merging and intensity of one or the other ""could"" correspond to figures in a story bu I couldn't actually ""see"" that or tell myself that strong when listening. ",2,2,1,"B2, H2",,2,2,1,,81,Female,5,0,E
66,3,1,1,3,2,4,2,1,2,H4,"Thought of theatre paintings by Toulouse Lautrec and Dega paintings of dancers that I have seen and studied. Saw the drama, lighting, exaggerated forms depicted in the paintings. ",4,4,2,H2,"Fictional scene - scenes depicted in Impressionism paintings - the sense of the moment, the sensations of the scnee - but not a narrative. The Beethoven was very cerebral - and bid she to abstract ""images""",4,4,2,"The Hough Quartet brought to mind ideas abd eotions expressed in Impressionist and all movements were subjects of the paintings. I thought a lot about how the sounds evoked the images I was familiar with and reflected the upharbal or all levels of experience from 1890-1920's . For the Hough piece- motion instruments dance were what I experienced, and nachieve or memories from any life but memories of other . ",77,Female,5,20,E
67,3,1,1,2,1,5,2,2,2,H5,Remember the warmth and sunlight of a garden in Aix-en-Provence. Also the smells of flowers and heat coming off the Earth. And the olive trees. ,5,4,4,H3,I imagined the lobby of a hotel with the staff pushing around to attend to the guests of check0in; at the coneirge desk; providing cofee & drinks; attending to luggage. And guests greeting each other with laughter and hugs. Palm trees and sunny spaces. ,5,4,5,,75,Female,5,4,K
68,3,1,2,2,1,4,2,2,1,B2,Memories of being on the beach and of sailing. Walking on the deck with crisp air and comfortable breezes. My shawl blowing in the breeze. Feeling calm + relaxed but also like I could do anything. Hopeful + content at the same time. ,5,4,3,"B3, H5","One of the Hough movements made me clearly imagine 2 or more people fighting, arguing. ",5,5,2,,59,Female,2,0,J
69,4,2,1,5,3,5,2,1,2,B1,It was playing in orchestra. Trying to learn cello fingering. The disappointment that I didn't want to practice. And that in 6th grade our school had a guess where we'd end up. Mine was a concert cellist (I'm not). ,5,2,5,"H1, H2","I imagined being in a set of a BBC/PBS period piece filmed in France. The greenery- the women in long shirts, etc.",4,3,3,"Plucking - my dad used to say ""you shouldn't pluck"" (he was a judgemental Brit) - and how much I enjoyed it",54,Female,3,30,J
