"Participant_number","Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Age","Gender","Music_listening","Practice","Location","ID"
54,"Not at all","A moderate amount of the time","A small amount of the time","Not at all","Not at all","All of the time","Not at all","A moderate amount of the time","Not at all","B2, H2","Beethoven: The rhythm of colour and shapes, Hough piece: Aupare - my happy thoughts of Paris and remembering when my father sued about parle in Paris. He was a student in Paris before the war","Entirely","Entirely","Entirely","B2","Not a scene per se but the rhythm pulsed with color accents. I see colour + shapes dark notes - bon notes one saturated black, dark blue, purple","Entirely","Entirely","Entirely",NA,"73","Male","Very frequently",NA,"K",NA
55,"A moderate amount of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","All of the time","Not at all","A small amount of the time","A small amount of the time","B2","It brought back the memories of the conversation I had with my friends group. We talked about the string quartet music itself how we liked it. Also talked about the first time we heard it. Talked a lot about our childhood & the music we were exposed to thanks to our parents. (Smell of coffee, too) ---> because we also talked about it.","Moderately","Slightly","Slightly","H2","The pants in Paris, NJ, other places in general. Walking alone through a path the smell, sound (wind, birds, footsteps etc), view of sky...","Entirely","Slightly","Moderately","the theater A l'egalise... interesting harmonic texture of the music brought up interesting musical joy;..","57","Female","Very frequently",20,"J",NA
56,"Most of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Not at all","Not at all","H2","Sinlight and sidewalks and people walking on a path. Shadows and something faintly menacing watching","Mostly","Moderately","Mostly","B1","Call + respomse, conversations. Sometimes between birds, sometimes between people... teashing and calling out","Mostly","Mostly","Mostly",NA,"56","Female","Moderately frequently",2,"I",NA
57,"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","B1","The amazing physical involvement of the musicians with each other and with the music reminded me of playing music myself in high school band. The harmonic relationships are what we need in our world today. We should be able to peacefully + joyfully interact with others, so sad that it is lacking today in our world.","Entirely","Entirely","Moderately","H4","The amazing dino note - wonderful. Also the marionettes in this movement.","Entirely","Entirely","Slightly",NA,"75","Female",NA,15,"J",NA
58,"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"No contours just paying attention to the music - quality of players bowing why is the viola to the far right","Not at all","Not at all","Not at all",NA,"Just ""visualizing"" the music trying to imagine the score no scenes no memories","Not at all","Not at all","Not at all","Just listening to the music & focusing on it (and the woman next to me who breathes loudly & irregularly through her nose)","57","Male","Frequently",8,"J",NA
59,"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","B4","The concert 2 attended at with my dad.","Moderately","Moderately","Slightly",NA,NA,NA,NA,NA,NA,"39","Female","Frequently",NA,"J",NA
60,"Most of the time","A small amount of the time","Most of the time","Most of the time","Not at all","A small amount of the time","A small amount of the time","A small amount of the time","Not at all","B4, H5","I remember backyard bunnies and squirrels dancing around the forest. At quiet beautiful and serene.","Mostly","Mostly","Moderately","B4, H5","Ballet dancers on stage in floutes dresses dancing to the beat of the music.","Mostly","Mostly","Entirely",NA,"66","Female","Moderately frequently",5,"K",NA
61,"Most of the time","A moderate amount of the time","Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A small amount of the time","B1","I was a young man, this was in a hot air baloon. First I saw children playing and laughing. Then I saw people Dancing. Then bunnies not marathon. Then horses grazing in the grass. The I was making love to my wife in the field.","Entirely","Entirely","Moderately","H1","I was on a sailboat at sunset. It was very serene. I had pefect peave as I danced along.","Entirely","Entirely","Moderately",NA,NA,"Male","Moderately frequently",0,"J",NA
62,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",NA,"I listen closely, I listen well - I am a professional musician and I listen carefully and in detail to the music and the performance. Irarely, if ever, have extra-musical associations when listening to music.","Not at all","Not at all","Not at all",NA,"see previous comment. Why would you assumed that listening to music promotes ""imaginings"". Is there research that strongly suggests this!","Not at all","Not at all","Not at all",NA,"73","Male",NA,67,"J",NA
63,"Not at all","Most of the time","Not at all","A moderate amount of the time","Not at all","All of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","B2","I remember playing 2nd violin in the piece - the drama, the long long long lines - the rest of deep in the 1st violin. the pleasure of all of the voices.","Entirely","Mostly","Entirely",NA,"no story",NA,NA,NA,"In the Beethoven I closed my eyes and saw the sound of the music in a chord of dark smoke exactly in the center of the space by the quartet members - it could then wafted out into the center of the first flow of the auditorium","75","Female","Very frequently",NA,"J",NA
64,"Most of the time","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,NA,"Not at all","Entirely","Entirely",NA,"Nothing was most vivid and sounded monotonous. ""Sawing wood"" is what it all sounded like to me. Back and forth... Back and forth... the pendulum drone-like sawing of the blow. Almost like fingernails on a chalkboard. the sawing putting me to sleep.. but again the sawing me from any relief from sleeping rest. mice running along the teeth of the saw. something in the same direction.. most times not... then running up tick and top... up and over the gradnfather clock","Not at all","Entirely","Entirely","None of these elicited anything to me other than cacophonous annoyance... I think because my mind was not at rest to begin with since I am fresh into middle of processing a 5 1/2 day intense immersion into unsettling family encounters leaving me emotionally and cognitively depleted. My energy in any spent I;m looking to rest until another day when again music may enter... with its magic.","71","Male","Moderately frequently",50,"I",NA
65,"A small amount of the time","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","B2, H2","The agitation in the music (somtimes) invite thoughts and images of people in distress or competitive chase. To be honest, I was more attentive to very precise interactions of the ""instruments"" ie the sachrads. The merging and intensity of one or the other ""could"" correspond to figures in a story bu I couldn't actually ""see"" that or tell myself that strong when listening.","Slightly","Slightly","Not at all","B2, H2",NA,"Slightly","Slightly","Not at all",NA,"81","Female","Very frequently",0,"E",NA
66,"A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Most of the time","A small amount of the time","Not at all","A small amount of the time","H4","Thought of theatre paintings by Toulouse Lautrec and Dega paintings of dancers that I have seen and studied. Saw the drama, lighting, exaggerated forms depicted in the paintings.","Mostly","Mostly","Slightly","H2","Fictional scene - scenes depicted in Impressionism paintings - the sense of the moment, the sensations of the scnee - but not a narrative. The Beethoven was very cerebral - and bid she to abstract ""images""","Mostly","Mostly","Slightly","The Hough Quartet brought to mind ideas abd eotions expressed in Impressionist and all movements were subjects of the paintings. I thought a lot about how the sounds evoked the images I was familiar with and reflected the upharbal or all levels of experience from 1890-1920's . For the Hough piece- motion instruments dance were what I experienced, and nachieve or memories from any life but memories of other .","77","Female","Very frequently",20,"E",NA
67,"A moderate amount of the time","Not at all","Not at all","A small amount of the time","Not at all","All of the time","A small amount of the time","A small amount of the time","A small amount of the time","H5","Remember the warmth and sunlight of a garden in Aix-en-Provence. Also the smells of flowers and heat coming off the Earth. And the olive trees.","Entirely","Mostly","Mostly","H3","I imagined the lobby of a hotel with the staff pushing around to attend to the guests of check0in; at the coneirge desk; providing cofee & drinks; attending to luggage. And guests greeting each other with laughter and hugs. Palm trees and sunny spaces.","Entirely","Mostly","Entirely",NA,"75","Female","Very frequently",4,"K",NA
68,"A moderate amount of the time","Not at all","A small amount of the time","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","Not at all","B2","Memories of being on the beach and of sailing. Walking on the deck with crisp air and comfortable breezes. My shawl blowing in the breeze. Feeling calm + relaxed but also like I could do anything. Hopeful + content at the same time.","Entirely","Mostly","Moderately","B3, H5","One of the Hough movements made me clearly imagine 2 or more people fighting, arguing.","Entirely","Entirely","Slightly",NA,"59","Female","Somewhat rarely",0,"J",NA
69,"Most of the time","A small amount of the time","Not at all","All of the time","A moderate amount of the time","All of the time","A small amount of the time","Not at all","A small amount of the time","B1","It was playing in orchestra. Trying to learn cello fingering. The disappointment that I didn't want to practice. And that in 6th grade our school had a guess where we'd end up. Mine was a concert cellist (I'm not).","Entirely","Slightly","Entirely","H1, H2","I imagined being in a set of a BBC/PBS period piece filmed in France. The greenery- the women in long shirts, etc.","Mostly","Moderately","Moderately","Plucking - my dad used to say ""you shouldn't pluck"" (he was a judgemental Brit) - and how much I enjoyed it","54","Female","Moderately frequently",30,"J",NA
70,"A small amount of the time",NA,"A moderate amount of the time",NA,NA,NA,NA,NA,NA,"B1, B3, B4, H4","1) Wailing of violins in concert halls, with wet pavement outside - from Paul Jennings, British columnist & humanist, noted for ""oddly"" book series.   2) Mud pots, bubbling upwards (i.e. geothermal type.     3) Small groupings of small birds, flying up &down inside a cavernous old brick faculty building (the type with ranks & ranks of small windows) birds are seeking a window from which to escape, unsuccessfuly.     4) Tightly modulated scales of music like viewing a finely mandolined large vegetable such as a cucumber, with the stack of slides sliding diagonally into the scales","Mostly","Entirely","Entirely","B4","Robin Hood has just returned towards his troupe in Sherwood Forest after one of his numerous hair-raising encounters with the rather inquisitions. Sheriff of the local town, and is enjoying the melodious stirrings of the forest trees, accompanied by flashes of dappled sunlight, which ahve a heartwarming familiarity to him.","Mostly","Entirely","Entirely",NA,"72","Male","Moderately frequently",0,"K",NA
71,"A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Most of the time","A small amount of the time","A moderate amount of the time","Not at all","B3","Not super imaginative - this was of playing variation quartet sherzi with my husband and kids, and especially the faces and hands of the kids when they were younger and variation disussions of why ""seherzin"" are so called ie ""jokes"" in Italian and how our little one Roberto found that funny","Entirely","Entirely","Entirely","B2, H2","This was slightly inspired by a movie I just saw ""The Return"" thinking this would have made a much better soundtrack but then I started just thinking of the mood of the movement and what kind of love story it would involve and I thought probably one of absence.","Mostly","Entirely","Entirely","A l'hotel --> I wrote an entire story about people ___ and going in the hotel foyer.","52","Female","Very frequently",NA,"I",NA
72,"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","B4, H6","At these times I remember thinking about all the times I've attended concerts and rely ___ sources in this space","Moderately","Mostly","Mostly","B1, H5","In movement 5 (Hough) I was glued in because the composer said it was the bleakest wound","Moderately","Mostly","Slightly",NA,"60","Male","Moderately frequently",6,"J",NA
73,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","H1","It's a memory of watching an old black and white film - people moving jumpily at odd speeds","Entirely","Slightly","Slightly",NA,"Oh dear - I have no fictional imaginings",NA,NA,NA,"I don't think I day dream anymore. I did when I was younger","67","Female","Moderately frequently",0,"J",NA
74,"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","A small amount of the time","A small amount of the time",NA,"I don't daydream when I listen to something like a string quartet",NA,NA,NA,NA,NA,NA,NA,NA,"I watch the players and try to keep my mind as clear as possible to focus on the music. It's easy to do listening to such a truly focused group of musicians like the Takacs Quartet.",NA,"Female","Very frequently",NA,"J",NA
75,"Not at all","A small amount of the time","Not at all","Not at all","A small amount of the time","Most of the time","Not at all","A small amount of the time","A small amount of the time","H6","Reminded me of rushing through a Parisian street","Entirely","Mostly","Not at all","H6","Rushing through crowded streets trying to keep up with my husband","Mostly",NA,"Not at all",NA,"74","Female","Frequently",NA,"I",NA
76,"A moderate amount of the time","Not at all","Not at all","Most of the time","A moderate amount of the time","A moderate amount of the time","Not at all","Not at all","A small amount of the time","B2, H3","It was a memory of a loss in my life, the loss of the love of my life
I imagine so well the busy life of a busy hotel. The image was so vivid. It's interesting, that out of all movements I remember the best the hotel :). But maybe because I recently stayed in one, and the memories are fresh still.","Entirely","Not at all","Entirely","B1, H1","I had a vision of the scene that happened long time ago, when Beethoven just composed this Quartet, and it was a premier. How he listened critically the 1st performance of his creation. I imagined the feelings he could have. 
I kind of was given directions for the image; the busy street of 1920th in Paris: the cars, people walking","Entirely","Entirely","Entirely",NA,"49","Female","Very frequently",NA,"I",NA
77,"Not at all","Not at all","Not at all","A small amount of the time","Not at all",NA,"A small amount of the time","A moderate amount of the time","Not at all","B3","Baking with my son when he was little. He was very agitated and excited.","Slightly","Mostly","Entirely",NA,"None. I didn't experience any fictional scenes.","Not at all","Not at all","Not at all","no","45","N/A","Very frequently",38,"J",NA
78,"Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A moderate amount of the time",NA,"On the street in a busy market. Occasional bursts of color, of vocal outburst.","Mostly","Mostly","Entirely","H6","See above- - just as applicable here","Mostly","Mostly","Entirely",NA,"74","Male","Very frequently",20,"K",NA
79,"A small amount of the time","A moderate amount of the time","Not at all","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","B3, B4, H3, H6","2","Slightly","Moderately",NA,NA,NA,"Moderately","Mostly","Mostly",NA,"86","Male","Frequently",75,"I",NA
80,"A small amount of the time","Not at all","Not at all","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","B1","I remembered living in France 15 years ago. Specifically, I remembered walking up the steps in monmtre toward sacre coevr.","Moderately","Entirely","Mostly","B3","I imagined a dinner table that all around sat robots instead of people. There was no food or drink and the robots were large and boxy like a child's halloween costume, they weren't speaking, just moving in a ""robotic"" way in small jerky movements.","Mostly","Entirely","Entirely","I experienced lots of nature/flowers, water, plants etc imagery especially during Beethoven's 2nd movement. Specifically a scene of a field with yellow buttercups and cattails swaying in wind","33","Female","Frequently",0,"H",NA
81,"A moderate amount of the time","Not at all","Not at all","Most of the time","Not at all","Most of the time","A small amount of the time","Not at all","Not at all","H3","A busy urban center old style hotel, very big, rooms sold out, very busy at lobby desk","Mostly","Entirely","Moderately","B2","Only 1 air traffic controller remains at JFK airport because all the rest were laid off. He is scrambling to run all functions and there is complete chaos","Moderately","Entirely","Entirely","Hough 2 - a peaceful serene park","70","Male","Frequently",10,"B",NA
82,"A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","Most of the time","A moderate amount of the time","A small amount of the time","Not at all","H3","I was thinking about my experience/ memory walking on the Washington Bridge and looking over to the frozen Lake Carnegie. This is a thing I do almost daily, so I recently I have been staring/seeing the frozen lake everyday. I recalled the cracks and blemishes on the ice surface (and thought about what would it be like to walk on them). Somehow this movement made me a bit cold.","Moderately","Mostly","Entirely","B2","This movement conjured a field of flowers in my mind. More specifically, it's an open field of grass with lots of small flowers (daisies, buttercups perhaps). I also imagined a clear sky in the background.","Moderately","Mostly","Mostly",NA,"24","Non-binary","Very frequently",5,"C",NA
83,"Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all","B2","A long time ago I heard this piece for the first time. Went in one ear and out the other. Same (mostly) the other times I've heard it. This time I was shattered. It was beatifully played, true but more, I'm old and hearing this and feeling my heart breaking, I realized something I hadn't quite before. You change much faster when you're old than when you're young.","Mostly","Entirely",NA,NA,NA,NA,NA,NA,"Just a thought. Does the knowledge that you'll be writing about something cause you to think differently during the performance? How would you test this in your reserach? I don't have any good ideas.","80","Female","Very frequently",0,"F",NA
84,"A small amount of the time","A moderate amount of the time","A small amount of the time","Most of the time","A small amount of the time","All of the time","All of the time","A moderate amount of the time","A small amount of the time","B2, H2","I played the violin part of the Beethoven in an amateur quartet. Walking in the park!","Moderately","Mostly","Mostly","B2, H2",NA,"Mostly","Entirely","Mostly",NA,NA,"Male","Very frequently",80,"H",NA
85,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",NA,"None","Not at all","Not at all","Not at all",NA,"none","Not at all","Not at all","Not at all","I attend concerts to watch the performers. I listen to the music","77","Male","Very frequently",0,"B",NA
86,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",NA,"None","Not at all","Not at all","Not at all",NA,"none","Not at all","Not at all","Not at all",NA,"77","female","Frequently",NA,"B",NA
87,"Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","All of the time",NA,"A small amount of the time","A small amount of the time",NA,"It was beautiful. Relaxing. Could have been a full orchestra playing. Love watching musicians. Feel the music they are playing","Mostly","Entirely","Slightly",NA,NA,"Not at all","Not at all","Not at all",NA,"66","Female","Very frequently",1,"I",NA
88,"Most of the time","A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Most of the time","A moderate amount of the time","Not at all","A moderate amount of the time","B4, H3","I remembered the time I saw Carmen at the Met opera","Mostly","Mostly","Mostly","H3","I imagined a monk tip-toeing at night. Then I thought of an elephant swaying under the stars","Entirely","Entirely","Mostly","Beethoven 1 - clouds in breeze/ river running water 
Beethoven 3 - rabbit hopping 
Hough 1 - chickens in Polish village chasing grain 
Hough 6 - Allied victory, soldiers marching through France on street (photo)","38","Male","Very frequently",4,"A",NA
89,"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I was concentrating on the musicians. To see who was playing what. The difference in the tone of the two violins was interesting.","83","Male","Frequently",70,"I",NA
90,"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","Not at all","Not at all","B1, H6",NA,"Slightly","Entirely","Entirely","B1, H6","Imaging the Composer writing - at piano, in ___ home, imaging the process of genius creativity","Mostly","Mostly","Slightly",NA,"74","Female","Somewhat rarely",0,"J",NA
91,"Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all","B2, H4, H5","Thinking of my husband who died - especially in the Hough, Marcel Proust, this specialty, loosens, sadness too. Personal to be particular losing my diamond car crash urban my daughter was 3, ate Hough - very sad movememnts 4 + 5","Not at all","Not at all","Not at all",NA,"This is not constructed well - no imaginings","Not at all","Not at all","Not at all","Dead husband -","82","Female","Very frequently",NA,"H",NA
92,NA,NA,NA,"A small amount of the time","Most of the time",NA,NA,NA,"A small amount of the time","B2","Memories were almost absent, but I did think back on a good class with ___ books, and how much the students enjoyed seeing them.","Not at all","Entirely","Entirely",NA,"I don't recall this happening at all","Not at all","Not at all","Not at all","I thought about musical compositions almost the whole time. What to do, and violin, and how. Imagining different direction; contrasts of high/low, long/short, soft/loud, many/few. How to learn from Beethoven - how to imagine the Hough! Taking personal notes on how to compose, if I were to try.","59","Male","Frequently",13,"J",NA
93,"A small amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all","B2, H3","Thoughts of my grandmother and her life - sadness and happiness around her family. Confusion, taurmoil, despair of the current world.","Mostly","Moderately","Mostly","H3, H4","Individual feeling alone, depressed, looking for some hope","Moderately","Moderately","Moderately",NA,"75","Female","Somewhat rarely",5,"J",NA
94,"A moderate amount of the time","Not at all","A small amount of the time","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","H1","Strolling in paris as a kid. First time I visited. People, faces, noise. I also thought about boule randous Berlin","Mostly","Not at all","Entirely","H2","Strolling among beautiful nature very greenish. Spring time. People picnicking on the grass. Children playing ball and frisbee. A few years ago, 1980s?","Moderately","Moderately","Mostly","The adagio make me happy I was transported fully into the melody 
First question primed the rest of the questionaire. I would have placed it at the end.","57","Female","Very frequently",0,"A",NA
95,"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","All of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","H1","The music felt babbly, which made me think of champagne - which made me think of dinking champagne with my wife the weekend we became engaged. We received a gift of two beautiful champagne flutes and a bottle, and a friend took a photo of us through one of the filled, fizzing, glasses. The music evoked that fizzy, bubbly, happy moment for me.","Slightly","Slightly","Entirely",NA,"I didn't experience a vivid fictional story or scene.",NA,NA,NA,NA,"47","Male","Very frequently",41,"C",NA
96,"Most of the time","A small amount of the time","Not at all","Most of the time","Most of the time","All of the time","Not at all","A small amount of the time","Most of the time","H4","Memories of emotional highs and lows - my parents, loves, fall scenes - melancholia mixed with longing for lost life moments. Parcuts, my father at the piano. My mother missing my father","Mostly","Entirely","Mostly","H6","Intense industry. Factory processing with manic production. Unexpected sources of ___ ending home, exhausted and ready for quiet.","Mostly","Entirely","Mostly",NA,"75","Male","Somewhat rarely",40,NA,NA
97,"Most of the time","A small amount of the time","A small amount of the time","All of the time","Not at all","All of the time","All of the time","All of the time","All of the time","B2, H4, H5","Beethoven Adagio - beautiful long breath line scenery, home field scene
Hough; artistic view, museum visitings, dance scene ballet (modern) calligraphy paintings","Mostly","Mostly","Mostly","B3, H3","Beethoven - exotic feelings of folk stories, foreign culture 
Hough - French society - early 20th century, red moullerin, Les Six (musicians)","Mostly","Mostly","Mostly","Great music, performance in general. Great performing are with excellent undersatnding of style","48","Female","Very frequently",43,"D",NA
98,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A small amount of the time","A small amount of the time","A small amount of the time","Not at all","B3, H6","Already forgot - like dreams - remember for only an instant and can't bring it back","Slightly","Slightly","Moderately","B3, H6",NA,"Slightly","Slightly","Moderately",NA,"79","Female","Very frequently",40,"H",NA
99,"Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","All of the time","Most of the time","Not at all","Most of the time","B2","I imagined moments in my life when I've felt immense pain - not a specfici memory of pain, but general resonance of the emotion","Entirely","Entirely","Slightly","B1","I realized that daydreams don't come naturally to me - but when I tried to think of a specific fictional imaginging, I imagined galloping horses in the countryside during a bright sunny vividly green day","Entirely","Slightly","Moderately",NA,"31","Female","Very frequently",NA,"A",NA
100,"Not at all","A small amount of the time","A small amount of the time","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","B2, H5","Not so much a memory as emotion - warmth, summer, colors, water","Mostly","Mostly","Moderately",NA,"I did not experience this","Entirely","Entirely","Mostly","During the Hough, I experienced __ ___ of emotions that seemed to be expressed also in ___ to feelings in color and warmth","81","Female","Moderately frequently",NA,"C",NA
101,"A moderate amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A small amount of the time","B3","I remembered attending a class about Beethoven and the teacher described how Beethoven would repeat a note or chord before changing to another key or theme.","Entirely","Mostly","Entirely","B2, H2","Hough - remembered a park scene from Proust, in which the children were playing. 
Beethoven - romeo and juliet in the tomb.","Mostly","Mostly","Entirely","The Hough movement that was dark reminded me of the horrors of WWII. Are we heading there again? What sort of life will my grandsons have?","70","Female","Moderately frequently",0,"B",NA
102,"All of the time","A small amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","All of the time","A small amount of the time","A small amount of the time","Not at all","B4, H6",NA,"Entirely","Entirely","Not at all","B4, H1",NA,"Entirely","Entirely","Not at all",NA,"64","Male","Somewhat rarely",60,"H",NA
103,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","H1","Strolling down the grand boulevard in Paris. The view down the Champs-<c9>lys<e9>es forom Grande Arche de la D<e9>fense","Moderately","Slightly","Entirely",NA,"Didn't have any fictional imaginings","Not at all","Not at all","Not at all",NA,"80","Female","Moderately frequently",60,"B",NA
104,"Most of the time","Not at all","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","All of the time","A moderate amount of the time","Not at all","Not at all","B1","Happy, sunny, uplifting. We often listen to uplifting classical happy music during breakfast with out children growing up reminds me of a happy, birght start to the day. Also, spending many springs in London, visitng gardens, galleries and museums","Entirely","Entirely","Slightly","H4, H5","Brought to mind the manic, almost macbre feeling of the drift from a happier period to a tragic, scary next stage","Entirely","Entirely","Not at all","Beethoven movement #3 same as movement #1 brought to mind a happier, positive and simpler time","68","Female","Frequently",0,"A",NA
105,"A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,"Daily memories of playing this with friends much more slowly and no where near the depth and understanding","Entirely","Entirely","Entirely","B2","Snatches of a beautiful lady the lower voices were a heart beat","Entirely","Moderately","Not at all",NA,"87","Female","Very frequently",80,"B",NA
106,"Most of the time","Most of the time","A small amount of the time","Not at all","Not at all","All of the time","A moderate amount of the time","Not at all","Not at all","H2","Raindrops sound. A park without any people. Little loneliness. Some emotional history","Mostly","Slightly","Mostly","B1","romantic and dramatic story. dancing woman and man","Mostly","Slightly","Moderately","Tangled ribbons, resonated (sound) waves. dance (stands out the most), play, poem,","27","Female","Frequently",25,"C",NA
107,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","All of the time","Not at all","A small amount of the time","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This survey does not work for me. I am afraid I think almost exclusively about the form of the music and the performance. To the extent I am just thinking about ___ I am thinking of the performers. Sorry!","90","Male","Very frequently",10,"E",NA
108,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","A small amount of the time","A moderate amount of the time",NA,NA,"Not at all","Not at all","Entirely",NA,NA,"Not at all","Not at all","Entirely",NA,"74","Female","Frequently",0,"F",NA
109,"A moderate amount of the time","A small amount of the time","Not at all","Not at all","Not at all","Most of the time","A small amount of the time","A small amount of the time","Not at all","B1","No specific actual memory","Entirely","Entirely","Moderately","B1","A lush pasture with the sun shining; then a storm brewing, and finally clearing","Entirely","Entirely","Moderately","Movement 5 of the Hough was exquisitely beautiful, in contrast with the more dissonant movement that preceeded it","51","Male","Frequently",45,"C",NA
110,"Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","H4, H6","Thought of Muppets","Entirely","Entirely","Moderately",NA,"Muppets Harold ___ sitting on the balcony","Entirely","Entirely","Moderately",NA,"91","Male","Very frequently",0,"C",NA
111,"Not at all","Not at all","A moderate amount of the time","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all","H2","Thinking Manet Dehors et Sur L'herbe Grovinos for Sculpture version.","Mostly","Mostly","Mostly","H1","Paris Last September","Mostly","Mostly","Mostly",NA,"72","Female","Frequently",NA,"H",NA
112,"Not at all","Not at all","A moderate amount of the time","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","Not at all",NA,"No memories, just relaxed, peaceful, and removed from everyday life","Mostly","Entirely","Not at all",NA,NA,NA,NA,NA,NA,"63","Male","Frequently",0,"A",NA
113,"Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all","B2",NA,NA,NA,NA,"B2","Sense of playfulness in a meadow. Perhaps animals or perhaps people. No story developed. The imaginings continued with no narrative","Entirely","Entirely","Slightly",NA,"60","Female","Somewhat rarely",1,"C",NA
114,"Most of the time","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","H1","Being at the NYC ballet watching/experiencing a balanchine ballet - modernist scenery; colorful costumes","Entirely","Moderately","Mostly","B1","Shorebirds running, exploring, frolicking, skirmishing, wading to and fro at the beach","Entirely","Moderately","Mostly",NA,"60","Female","Frequently",10,"F",NA
115,"A moderate amount of the time","A moderate amount of the time","Not at all","Most of the time","Not at all","A small amount of the time","Most of the time","Not at all","A small amount of the time","B3, H5","A conversation I had had earlier that day about future plans before rushing to class. it was slightly frustrating","Mostly","Entirely","Mostly","H2","Rain drops in a pond, sunlight, a walk","Entirely","Moderately",NA,NA,"19","Prefer not to say","Moderately frequently",12,"A",NA
116,"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","B2","I enjoyed the music. Occasionally I thought of the papers I'm grading","Entirely","Entirely","Not at all","H2","I was walking through a park and listening to birds and trees","Entirely","Entirely","Not at all",NA,"57","Female","Very frequently",NA,"A",NA
