"Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Feedback","join_key","Age","Gender","Music_listening","Practice","Location"
"All of the time","All of the time","Most of the time","Most of the time","Not at all","Not at all","Not at all","Not at all","Not at all","Br3","A late night moonlit scene in a forest. A lone rider on a horce galloping towards a destination. The moonlight blending the trees illuminating the path. The seat of seeat and pores. Amist shrubbery through the underbush. The horse slates down as the rider nears a pond, the stars reflected in the water the horse clarifies cool worse while the rider contemplates the steps and his fate","Entirely","Entirely","Entirely","Br1","The rider emerges from __ on a cloudy night. Slowly and with trepidation peaks a forest as the skys clear and a full moon's light blendes the trees. The rider ___ proceeds, the horse galloping beneath him towards an unfound destination. Night spirits around in the surrounding woods, dancing in the moonlight","Entirely","Entirely","Entirely",NA,"More the night more enjoyable and vivid.","14","63","Male","Very frequently",15,"H"
"A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","Br2","Dancing to the lyrical movement - long dresses - summer evening","Entirely","Mostly","Entirely","Br3","Racing horses - a chase scene","Entirely","Entirely","Mostly",NA,NA,"15","75","Female","Very frequently",50,"I"
"Not at all","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","Most of the time","Not at all","A moderate amount of the time","Br2","End of relationships - marraige, etc.","Slightly","Mostly","Mostly",NA,NA,NA,NA,NA,NA,"Really - my mind wanders until I come back to watching the musicians and paying full attention to the music itself.","16","73","Female","Moderately frequently",NA,"H"
"Not at all","Not at all","A small amount of the time","A small amount of the time","Not at all","All of the time","A small amount of the time","A moderate amount of the time","A small amount of the time",NA,"Nope! I was entirely focused on the music or distracted by minor nonsense in the space.",NA,NA,NA,NA,"Nope! No ""imaginings"" or none that were significant enough to stick around. Too engrossed",NA,NA,NA,"The syncopated 3rd mvt was so engrossing and the tempo was so fast - super engrossed and on the edge of my seat. Sorry, no memories or ""imaginings"" during the second half of the concert - too engrossed!","Big time framing effect - had lots of meta thoughts. People with clipboards made distracting noises. Fun though! Good luck with this cool study!","17","44","Female","Very frequently",17,"I"
"Not at all","Most of the time","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all","Br1; Br4","1. Magestic - beauty - sorrow 4. Dance like apoteosic","Mostly","Mostly","Mostly",NA,NA,NA,NA,NA,"Watching the musicians live playing the music is an extraordinary experience!",NA,"18","78","Male","Frequently",0,"I"
"A moderate amount of the time","Not at all","Not at all","A small amount of the time","Not at all","All of the time","Not at all","All of the time","All of the time","Br1","On all of the movements, but mostly the first, vivid memories of page turning for other pianists during chamber performances. A little anxiety inducing","Entirely","Mostly","Entirely","Br4","During the funeral - march movement in f minor (i think???) I imagined dark night shy with old, crumbling, buildings. Very vivid, felt very ancient","Entirely","Entirely","Mostly",NA,"Everyone who took part in the survey is cool and beautiful and a genius and I am in no way biased as a music department student! Y'all are awesome and endlessly innovative","19","24","Female","Very frequently",18,"H"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Most of the time","Not at all","Not at all","Br1; Br3","Memory of a past conference - triggered mainly by my thoughts/plans for a future conference.","Not at all","Entirely","Entirely",NA,NA,NA,NA,NA,"I spent most of my time thinking about research plans",NA,"20","29","Female","Moderately frequently",0,"G"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all","Br3","No specific memory, really. Just a very tense movement, so made me think of walking on a balance beam...",NA,NA,NA,NA,NA,"Entirely","Slightly","Moderately","In this piece, I was entirely focused on the music and the performers. Imagining was a luxury reserved for a less compelling piece. I was fixated on them like there was going to be a test immediately after","Fun!","21","55","Female","Very frequently",10,"G"
"A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","A small amount of the time","Not at all","Not at all","Br1","I remembered more memories from summer in Vermont. I thought about particular places in Marlboro- town center, south pound, the music festival, and houses around town.","Entirely","Not at all","Entirely","Br3","Somewhere around here someone in the audience made a bunch of noise, and I started thinking of different ways audience members could ruin the performance by making noise.","Not at all","Not at all","Not at all",NA,NA,"22","28","Male","Moderately frequently",12,"G"
"A moderate amount of the time","A small amount of the time",NA,"A moderate amount of the time",NA,"All of the time","A moderate amount of the time",NA,NA,"Br1","attacking peoples concerts NYC 1970s with 100s of (Wash Fring Schoool Manhattan) audience members in their 50s-70s-80s most emerque's from Europe, watching their hands quieter as they fingered the shops of the washmakers they played in youth-- A very demanding audience, no matter how son we ___ in auditorium, a dozen old ladies had elamed entire ros for their friends and defended ""their"" temporary as we week by clamped to rear of balancing.","Mostly","Moderately","Moderately","Br2; Br4","A mindful celebration not military but full of of people -- beloved by protagonist remembering almost in a dram of multiple years of a life long part. The outside the vigorous sounds of a row generation dancing of peaging--perhaps grandchildren of the elderly dreamer","Mostly","Mostly","Mostly",NA,"Seems a bit understranded. Please no ""starp rcs"" -- just cherry pick. Social science research is but some as contemplating society.","23",NA,"Male","Frequently",40,"F"
"Not at all",NA,"Not at all","A small amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","Br3","The rapid rhythm of the music brought back a memory of dancing wildly around -- as well as a ranch experience. Unlike the first half of the program however, the Brahms did not evoke much ""imagining"".","Slightly","Slightly","Slightly","Br3","Again the rapid rhythm prompted a scene of horse racing","Entirely","Entirely","Slightly",NA,"Happy to be able to participate! I think some of the questions could be better worded however -  it dwas unclear exactly what the referece was in the second page and 2A. And the term ""imaginings"" was not entirerly linked in.","24",NA,"2","Frequently",65,"I"
"A small amount of the time","Not at all","Not at all","A small amount of the time","A moderate amount of the time","All of the time","A moderate amount of the time","Not at all","Not at all","Br4","OWAs was the present mostly. Music evoked mostly was in the pleasant with the music is rhythm, timing, ___. Anxious, not bad best how the music was reaching for ___.","Mostly","Mostly","Entirely","Br2","___, ____, Countryside","Mostly","Mostly","Entirely",NA,": )","25",NA,"4",NA,NA,NA
"A small amount of the time","Not at all","Most of the time","Most of the time","Not at all","All of the time","Not at all","Not at all","Not at all","Br4","A broad river, intensely blue, the sensation of floating along it. That occurred for a second - while, but mostly I thought only of the music as music. Also, somewhat I let my imagination loose on the ideas of what it must have felt when to compose it.","Entirely","Entirely","Entirely","Br4","What it might have been like to come up with these musical ideas and to write them out. The labor, the temporary frustration, a final tirumph.","Entirely","Entirely","Entirely",NA,"It made me realize how difficult it is to translate musical experinece into other mental events. In fact, I think it is impossible.","26","73","Female","Very frequently",12,"H"
"A moderate amount of the time","Not at all","A small amount of the time","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","A small amount of the time","Br2","Being in an open market place, in front of Italy. Not very specific in the details.","Slightly","Slightly","Mostly","Br2","Dancing in an outdoor venue. 19th C setting. I was thinking about how the music was inspired by folk music, particularly for dancing couples.","Entirely","Mostly","Moderately",NA,"It's a good idea to learn about the audeince's thoughts. Will we learn of the results and analysis? Thank you!","27","68","Female","Frequently",0,"G"
"Not at all","Not at all","Not at all","Most of the time","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"I thought about when I played this piece and how much more difficult it is than these wonderful musicans made it sound.","Entirely","Entirely","Entirely",NA,"Not fictional",NA,NA,NA,"I thought the second movement was a little fast!","I think this kind of imagaining might be more prevalent listening to recordings. In a live performance one wants to attend to the immediecy of the experience.","28","77","Female","Very frequently",70,"I"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"No memories at all. The music (Brahms) was just gorgeous - all consuming. There is no room for anything outside the music. It creates its now vast sapcea nd then unfolds within + beyond that. It is beyond the time of memories or imaginings.","Not at all","Not at all","Not at all",NA,"None at all","Not at all","Not at all","Not at all",NA,"Yes! I don't know how this research will reveal interesting results. Any non-verbal art will suggest memories if that is what you are looking for but how is listening to music different? And waht about a live performance - you ask no questions about that - it's different from listening to a recording.","29","73","Female","Very frequently",5,"I"
"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,"No memories - just music.","Not at all","Not at all","Not at all",NA,"None - sorry",NA,NA,NA,NA,NA,"30","77","Female","Frequently",NA,"E"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Not at all","Not at all","Br2","One memory, or rather memory of a memory, from first grade (1945), of a blonde girl in my class, at recess outside. I think her name was Barbara.","Not at all","Entirely","Entirely",NA,"I had no fictional imaginings.",NA,NA,NA,NA,NA,"31","86","Male","Frequently",0,"F"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time",NA,"Orchestral music is visceral and takes over the body. Chamber music is cerebral and ___ for ___, it takes over the mind. Chamber music gives the listener more space for our mind to wander. When I was not focused on the players and the musicianship, my mind wandered to the personal ___ + ___ todau. I did not experience ___ or any special ....","Not at all","Entirely","Entirely","Br2","My ind wandered during the andante movememnt 2. No chance for it to wander in the Scherzo movemement when the music commands both body and mind.","Slightly","Entirely","Entirely",NA,"I am happy to do it. However, my guess is that the experience of synthesia - colors, smells, etc - has to do ___, the psychology of the listener and not the quality of the music.","32","81","Male","Frequently",10,"D"
"Not at all","A small amount of the time","Most of the time","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","A small amount of the time","Br3; Br4","I didn't have a memory, but this piece is familiar to me, which made me try to place where I've heard it before!","Moderately","Not at all","Not at all","Br2; Br3","I didn't have a vivid scene, mostly because I was distracted by a clanging cane down in the front row banging the floor. For a moment I got an image of scotttish bag pipes coming over mossy hill.","Mostly","Entirely","Entirely",NA,NA,"33","35","Female","Frequently",NA,"F"
"Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","Not at all","Br4","The harmony with the quartet in the smooth part were brought me suddenly back to Tyto in a Japanese ancient garden, ___ that day were incredibly sunny but not hot, the light reflects everything so gently, I remember how the curving of the plant, how the temple's structure when its combining with the smooth of cello. Then suddenly everything went harsher, pulling me every from the great travel memories that I have, and I was again into the music, impressed by gigantic harmony.","Moderately","Moderately","Entirely","Br2","___ I lift up my head in the early spring ___ how, back from China, I see the sun light passing through glass window puring its love at then I was ___.","Mostly","Moderately","Entirely","How the performers' expression and emotion emphasizes the music itself and personal memoires? For me, deeply involving in relating to and inverse in the music more deeply.","Maybe could adjust the Memories and Thenes to a bigger format. Everythign is great! : )","34","10 (or 60?)","Female","Very frequently",11,"F"
"A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","All of the time","A small amount of the time","A small amount of the time","Not at all","Br1; Br2; Br3; Br4","I love all the movements so much.","Mostly","Mostly","Moderately","Br2","This movement made me think of Brahms and Clara","Moderately","Moderately","Slightly",NA,NA,"35","42","Female","Very frequently",30,"E"
"A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","Br2","It reminds me when I was helping a young cellist to learn the 2nd mvt. She needed to learn the notes (it's hard for her) and I was also playing the 1st violin part (on my cello) to help her get more ideas about what's happening in the context.","Moderately","Slightly","Moderately","Br3","A prince is riding a horse to and is in a rush. Not to save people. Probably in argency to see someone. The story didn't go on because the piece ended in a sudden (didn't feel like it was the end).","Mostly","Mostly","Moderately",NA,"Thank you.","36","27","Male","Frequently",20,"F"
"A small amount of the time","Not at all","Not at all","Most of the time","A small amount of the time","All of the time","A small amount of the time","Not at all","A moderate amount of the time","Br2","Talking to my friend's girlfriend about what she sees in him and how she envisions their future to be like. More focus on the words/conversation rather than the environment at that time.","Moderately","Mostly","Entirely","Br4","Pirates of the Carribean, especially towards the final 2 minutes of the last movement. Jack Sparrow was about to get hung out makes a daring, misty escape! Very dramatic. The music also sounded privatee-y?","Mostly","Moderately","Slightly",NA,NA,"37","20","Female","Frequently",13,"K"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A moderate amount of the time","Br2","Slowly moving up the _____ River in ___ on a paddle/steam boat from 1920s, looking at the peaceful scenes and visiting villages. 4","Mostly","Mostly","Entirely",NA,"No fictional imagining",NA,NA,NA,NA,NA,"38","83","Female","Frequently",NA,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,"All movements elicited a strong, musical response with me - notes, dynamics, texture - all about the music","Yes! As I continued with making my selections and comments... I began to feel more and more confident and even empowered with what I think is ""Phyllis-being"". I shall not waver in my convictions. This has been my movement with music.","39","80","Female","Very frequently",80,"D"
"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","A small amount of the time","A small amount of the time","Not at all",NA,"None","Not at all","Not at all","Not at all",NA,"None","Not at all","Not at all","Not at all",NA,"This is a so-so survey, of a lot of priming and very imprecise wording everywhere.","40","62","Male","Frequently",NA,"A"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","All of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Br4","I was remembering the first time I heard this movement and I was thinking how lucky I am to hear it again played so well. It was so alive!","Entirely","Entirely","Entirely",NA,NA,NA,NA,NA,"The 1st mvt reminded me of my dad's love of this piece and how grateful I am to have his love of music in me.","It was a painless, fun experience","41","72","Female","Very frequently",NA,"E"
"Most of the time","Not at all","Not at all","Most of the time","All of the time","All of the time","Most of the time","A small amount of the time","Most of the time","Br3","Brahms was the first classical composer I fell in love with; this and his string sextet accompanied me on a long drive once to my dear friends Shawn and Lauren, on a frigid January day a few years ago; Perfect music for a 95 minute drive to Mahwah. I played this movement for them; they marvelled at its modernity.","Mostly","Mostly","Entirely","Br2","Slow movements always inspire the most vivid scenes; I've long wanted to make a film about Brahm's relationship with Clara Schumann after Robert admitted himself to a mental hospital. This seems like an accompaniment for a scene of Brahms writing a passionate yet restrained note to Clara, one of the famous ones declaring love, admiration, and friendship for her (if I remember correctly). If I don't, then this is what the story would be.","Mostly","Mostly","Entirely","Seeing Mr. Hogue play was revalatory; he looks a bit like Osker Werner, who starred in several films by Francois Truffaut; Truffaut always reminds me of Brahms, and vice versa; the first movement is thrilling.","It's hard to take surveys like this because it colors your approach to listening; I almost felt as if I was searching for the answers to these questions in the second half; it's not bad though, just tricky.","42","28","Male","Very frequently",NA,"J"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br4",NA,"Mostly","Mostly","Mostly","Br4",NA,"Mostly","Mostly","Mostly",NA,NA,"43","22","Female","Frequently",NA,"K"
"Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","All of the time","Not at all","A moderate amount of the time","Not at all","Br3","Memory of reading a biography of Brahms and his stormy life!","Slightly","Slightly","Moderately",NA,"No fictional imaginings","Not at all","Not at all","Not at all",NA,"Not too relevant to my experience with music","44","73","Female","Very frequently",65,"J"
"Not at all","Not at all","Most of the time","A moderate amount of the time","Not at all","All of the time","Not at all","A small amount of the time","Not at all",NA,"Know this piece really well! Fond memories of listening to it from childhood on --","Entirely","Entirely","Entirely",NA,NA,"Entirely","Mostly","Mostly",NA,NA,"45","67","Male","Very frequently",0,"J"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","Not at all","A small amount of the time","Br3","Sounded like a great processional","Moderately","Slightly","Not at all","Br3","A great processional","Entirely","Moderately","Not at all",NA,NA,"46","77","Male","Very frequently",0,"J"
"Not at all","A small amount of the time","Not at all","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Br2",NA,"Not at all","Not at all","Not at all","Br2",NA,"Moderately","Moderately","Mostly","Agagin - mostly I enjoyed matching the musicians",NA,"47","56","Male","Somewhat rarely",0,"K"
"Not at all","Not at all","Not at all","Most of the time","Not at all","All of the time","Not at all","Not at all","A small amount of the time","Br1, Br2","I have played this before, so my memories were all fragments of my experience there - my own practice, rehearsal with friends, the performances.","Entirely","Entirely","Entirely",NA,"I did not have any fictional stories or scenes",NA,NA,NA,NA,NA,"48","50","Female","Very frequently",44,"J"
"Not at all","Not at all","A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2, Br4",NA,"Mostly","Moderately","Mostly","Br2, Br4","#2 It was like prepare for thunderstorm","Moderately","Slightly","Mostly",NA,NA,"49","62","Female","Very frequently",0,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","A small amount of the time",NA,"The comments from the first part apply here.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","75","Female","Moderately frequently",0,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"I watched the musicians and how they interact - listen to each play their instrument and part. Today thinking about the ___ was distracting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","68","Female","Frequently",NA,"J"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A moderate amount of the time","Br3","Remembering hearing this movement a lot.","Entirely","Entirely","Moderately",NA,NA,NA,NA,NA,NA,"Fun!","52","74","Female","Very frequently",0,"I"
"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2","my mother; movement","Moderately","Slightly","Entirely","Br4","chase scene; skating scene","Entirely","Moderately","Entirely",NA,NA,"53","43","Female","Frequently",15,"J"
"Not at all","Most of the time",NA,"Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Br3","nouncing, colour, low notes dark colour, high notes bright colourm high notes effereincent colours, pulsating","Entirely","Entirely","Entirely","Br3","no story just movements of colour accents pulsing again - low notes dark saturated colour high notes - bright schemency!","Entirely","Entirely","Entirely",NA,"Excellent idea","54","73","Male","Very frequently",NA,"K"
"Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","A small amount of the time","Not at all","A small amount of the time","Br4","I felt very tired and distracted by different kinds of daydreaming. Thought about own squeaky piano pedals relationship between Brahms and Clauara Schumann. What kind of advice she gave to Brahms? About latest news on politics. Thought a lot about coffee I made today - the grinding, brewing, taste.","Moderately","Moderately","Moderately",NA,"None","Not at all","Not at all","Not at all","All similar. I daydreamed a lot too tired to focus","Give a pen with the questionnaire from the beginning","55","57","Female","Very frequently",20,"J"
"Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","Not at all","Not at all","Not at all","Br4","Being lost in a foreign city, searching for the way, sometimes frantically, then more calming and then finding/regaining the path","Moderately","Moderately","Mostly","Br3","Herds of wild horses dispering, then coming together again. Sometimes running in horse races with riders on their backs.","Mostly","Mostly","Mostly",NA,NA,"56","56","Female","Moderately frequently",2,"I"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br1","Sadness in motif repeated by cello","Mostly","Mostly","Slightly",NA,"mostly just listened to music",NA,NA,NA,NA,NA,"57","75","Female",NA,15,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","Not at all",NA,"No memories N/A did compare to other performers of this brahms piece in my mind","Not at all","Not at all","Not at all",NA,"No visualization","Not at all","Not at all","Not at all",NA,"Ask how the audience understood the music!","58","57","Male","Frequently",8,"J"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","Br3, Br4","The concert. I went to with my dad and the time I played at the SQ, and chamber strings when I was in school.","Moderately","Moderately","Mostly",NA,NA,NA,NA,NA,NA,NA,"59","39","Female","Frequently",NA,"J"
"A small amount of the time","Not at all","A small amount of the time","All of the time","Not at all","All of the time","Most of the time","Not at all","Not at all","Br4","My sons wedding, outside inspired, thunderstorm coming in, grey clouds, everyone rushes and things to arrange plan B. Quick outside service, Thunderstorm hits, big rain drops we all get inside and lightning strikes!","Mostly","Entirely","Entirely","Br1","Children playing on the beach - sea gulls flying overhead fun day in the sea - waves are coming in","Mostly","Mostly","Moderately","Sharp movements in the Brahms music made me think of chaos","Enjoyable yet stressful","60","66","Female","Moderately frequently",5,"K"
"A small amount of the time","Not at all","Not at all","Most of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","Br1","It reminded me of a relationship that came about after my wife's death. I thought this new relationship would bring be healing + peace. However it became more tumultuous even to a lot crashed + burned.","Entirely","Not at all","Entirely","Br3","We jave a dog - a gavapoo who stands up on his hind legs + twinks around when she wants a treat. I pictured her dancing around the kitchen, then she went and ran in circles in the back yard. Last of all she ran along the decawace cadaland chased geese. At last she saw donald trump and bit him on the behind.","Mostly","Mostly","Entirely",NA,"I think the results would be more valid if I could have stopped and written my thoughts down after each movement.","61",NA,"Male","Moderately frequently",0,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",NA,"What I listen to most is ""character"": each line/phrase of each instrument and how each interacts with each of the other instruments. Yes, I not a great deal of technical abilities, but only insofar as they contribute, as detract for the music. I feel a performance - my first take is always a FEELING IN TIME which is shaped by the performance in big each and every note and silence with a clear, engaging character. The while, idealt is greater than the sum of the parts. Sorry, I never have extra-musical associations. If you had proved me with a beter pen I could have written more legibly.","Not at all","Not at all","Not at all",NA,"see previous comment","Not at all","Not at all","Not at all",NA,"see previous comments","62","73","Male",NA,67,"J"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","All of the time","Not at all","A moderate amount of the time","Not at all",NA,"I remember playing this piece at the Smithsonian with Strads from the library of congress and a Brahms era piano. An exhilarating experience.","Entirely","Entirely","Entirely",NA,NA,NA,NA,NA,"Seated in the balcony and found the piano overpowering. I let my eyes float up to the ceiling and wndered what the music would sound up there.","Great idea!","63","75","Female","Very frequently",NA,"J"
